to,from,weight,weightFrom,continenteFrom,weightTo,continenteTo
Mitología griega,Mitología fenicia,4,28,Asia,1185,Europa
Mitología griega,Mitología frigia,7,10,Asia,1185,Europa
Mitología griega,Mitología bereber,2,6,África,1185,Europa
Mitología griega,Mitología de Argólida,1,1,Europa,1185,Europa
Mitología griega,Mitología de Creta,6,6,Europa,1185,Europa
Mitología griega,Mitología persa,2,22,Asia,1185,Europa
Mitología griega,Mitología romana,25,243,Europa,1185,Europa
Mitología griega,Mitología cántabra,1,21,Europa,1185,Europa
Mitología griega,Mitología europea,3,60,Europa,1185,Europa
Mitología griega,Mitología ática,1,1,Europa,1185,Europa
Mitología griega,Mitología tracia,1,5,Europa,1185,Europa
Mitología griega,Mitología cristiana,1,25,Asia,1185,Europa
Mitología griega,Mitología laconia,1,1,Europa,1185,Europa
Mitología griega,Mitología germana,1,26,Europa,1185,Europa
Mitología griega,Mitología egipcia,3,145,África,1185,Europa
Mitología griega,Mitología mesopotámica,2,91,Asia,1185,Europa
Mitología griega,Mitología asiria,1,14,Asia,1185,Europa
Mitología griega,Mitología de Oriente Medio,1,16,Asia,1185,Europa
Mitología griega,Mitología vasca,1,16,Europa,1185,Europa
Mitología griega,Mitología asturiana,2,17,Europa,1185,Europa
Mitología griega,Mitología filistea,1,4,Asia,1185,Europa
Mitología griega,Mitología babilónica,1,59,Asia,1185,Europa
Mitología griega,Mitología acadia,1,70,Asia,1185,Europa
Mitología griega,Mitología sumeria,1,91,Asia,1185,Europa
Mitología guaraní,Mitología amazónica,1,10,América,14,América
Mitología guaraní,Mitología americana,1,52,América,14,América
Mitología guaraní,Mitología cristiana,1,25,Asia,14,América
Mitología guaraní,Mitología argentina,2,8,América,14,América
Mitología celta,Mitología europea,5,60,Europa,98,Europa
Mitología celta,Mitología irlandesa,16,24,Europa,98,Europa
Mitología celta,Mitología anglosajona,2,14,Europa,98,Europa
Mitología celta,Mitología germana,3,26,Europa,98,Europa
Mitología celta,Mitología española,1,11,Europa,98,Europa
Mitología celta,Mitología gala,3,10,Europa,98,Europa
Mitología celta,Mitología romana,3,243,Europa,98,Europa
Mitología celta,Mitología cántabra,2,21,Europa,98,Europa
Mitología celta,Mitología asturiana,3,17,Europa,98,Europa
Mitología celta,Mitología portuguesa,1,3,Europa,98,Europa
Mitología celta,Mitología de Galicia,2,11,Europa,98,Europa
Mitología celta,Mitología finlandesa,1,27,Europa,98,Europa
Mitología celta,Mitología galesa,1,5,Europa,98,Europa
Mitología europea,Mitología irlandesa,2,24,Europa,60,Europa
Mitología europea,Mitología íbera,5,5,Europa,60,Europa
Mitología europea,Mitología de Creta,1,6,Europa,60,Europa
Mitología europea,Mitología germana,3,26,Europa,60,Europa
Mitología europea,Mitología anglosajona,1,14,Europa,60,Europa
Mitología europea,Mitología eslava,1,19,Europa,60,Europa
Mitología europea,Mitología de Oriente Medio,1,16,Asia,60,Europa
Mitología europea,Mitología de Galicia,1,11,Europa,60,Europa
