URL,Nombre,Mitología,Clase
https://es.wikipedia.org/wiki/Amset,Amset,Mitología egipcia,Deidad
https://es.wikipedia.org/wiki/Bujis,Bujis,Mitología egipcia,Criatura
https://es.wikipedia.org/wiki/Cuervo_de_tres_patas,Cuervo de tres patas,Mitología egipcia,Criatura
https://es.wikipedia.org/wiki/Neper_(mitolog%C3%ADa),Neper,Mitología egipcia,Deidad
https://es.wikipedia.org/wiki/Nun_(mitolog%C3%ADa),Nun,Mitología egipcia,Deidad
https://es.wikipedia.org/wiki/Paredra,Paredra,Mitología egipcia,Deidad
https://es.wikipedia.org/wiki/Terioc%C3%A9falo,Teriocéfalo,Mitología egipcia,Criatura
https://es.wikipedia.org/wiki/Tr%C3%ADada_tebana,Tríada tebana,Mitología egipcia,Deidad
https://es.wikipedia.org/wiki/Bashe,Bashe,Mitología china,Criatura
https://es.wikipedia.org/wiki/Bashe,Bashe,Mitología china,Dragón
https://es.wikipedia.org/wiki/Cabeza_de_Buey_y_Cara_de_Caballo,Cabeza de Buey y Cara de Caballo,Mitología china,Criatura
https://es.wikipedia.org/wiki/Chi_You,Chi You,Mitología china,Deidad
https://es.wikipedia.org/wiki/Chollima,Chollima,Mitología china,Criatura
https://es.wikipedia.org/wiki/Cuatro_Reyes_Celestiales,Cuatro Reyes Celestiales,Mitología china,Deidad
https://es.wikipedia.org/wiki/Cuervo_de_tres_patas,Cuervo de tres patas,Mitología china,Criatura
https://es.wikipedia.org/wiki/Emperador_de_Jade,Emperador de Jade,Mitología china,Deidad
https://es.wikipedia.org/wiki/Erlang_Shen,Erlang Shen,Mitología china,Deidad
https://es.wikipedia.org/wiki/Fenghuang,Fenghuang,Mitología china,Criatura
https://es.wikipedia.org/wiki/Fo-Hi,Fo-Hi,Mitología china,Criatura
https://es.wikipedia.org/wiki/Gong_Gong,Gong Gong,Mitología china,Deidad
https://es.wikipedia.org/wiki/Hotei,Hotei,Mitología china,Deidad
https://es.wikipedia.org/wiki/Hu_Tianbao,Hu Tianbao,Mitología china,Deidad
https://es.wikipedia.org/wiki/Huli_jing,Huli jing,Mitología china,Criatura
https://es.wikipedia.org/wiki/Iama,Iama,Mitología china,Deidad
https://es.wikipedia.org/wiki/Jiang_Shi,Jiang Shi,Mitología china,Monstruo
https://es.wikipedia.org/wiki/Ky%C5%ABbi_no_kitsune,Kyūbi no kitsune,Mitología china,Criatura
https://es.wikipedia.org/wiki/Leones_de_Fu,Leones de Fu,Mitología china,Criatura
https://es.wikipedia.org/wiki/Lui-Sin,Lui-Sin,Mitología china,Deidad
https://es.wikipedia.org/wiki/Nezha,Nezha,Mitología china,Deidad
https://es.wikipedia.org/wiki/Nueve_hijos_del_Rey_Drag%C3%B3n,Nueve hijos del Rey Dragón,Mitología china,Dragón
https://es.wikipedia.org/wiki/Pangu,Pangu,Mitología china,Deidad
https://es.wikipedia.org/wiki/Peng_(mitolog%C3%ADa),Peng,Mitología china,Criatura
https://es.wikipedia.org/wiki/Perros_en_la_mitolog%C3%ADa_china,Perros en la mitología chin,Mitología china,Criatura
https://es.wikipedia.org/wiki/Rey_Drag%C3%B3n_(mitolog%C3%ADa),Rey Dragón,Mitología china,Deidad
https://es.wikipedia.org/wiki/Rey_Drag%C3%B3n_(mitolog%C3%ADa),Rey Dragón,Mitología china,Dragón
