URL,Nombre,Mitología,Clase
https://es.wikipedia.org/wiki/Abuk_(mitolog%C3%ADa),Abuk,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Agoyo,Agoyo,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Ala_(deidad_igbo),Ala,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Chukwu,Chukwu,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Dii_Mauri,Dii Mauri,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Faro_(mitolog%C3%ADa),Faro,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Gundya_Tikoa,Gundya Tikoa,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Idioma_Osha-Ifa,Idioma Osha-Ifa,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Kanno,Kanno,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Makemba,Makemba,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Nhialac,Nhialac,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Pomba_Gira,Pomba Gira,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Pueblo_yoruba,Pueblo yoruba,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Unkulunkulu,Unkulunkulu,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Yachar,Yachar,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Zangbeto,Zangbeto,Mitología africana,Deidad
https://es.wikipedia.org/wiki/Aisyt,Aisyt,Mitología altaica,Deidad
https://es.wikipedia.org/wiki/Elbis,Elbis,Mitología altaica,Deidad
https://es.wikipedia.org/wiki/Esege_Malan,Esege Malan,Mitología altaica,Deidad
https://es.wikipedia.org/wiki/Etugen_Eke,Etugen Eke,Mitología altaica,Deidad
https://es.wikipedia.org/wiki/Aiap%C3%A6c,Aiapæc,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Aiapoec,Aiapoec,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Antu_(pill%C3%A1n),Antu (pillán),Mitología americana,Deidad
https://es.wikipedia.org/wiki/Ayayema,Ayayema,Mitología americana,Deidad
